product_code,price_inr,year
ARCHDDE20D,2750.0,2024
ARCH158F41,5740.0,2024
ARCHAFF0E4,4610.0,2024
ARCH6B94F7,3910.0,2024
ARCH5D1FE7,1610.0,2024
ARCH7B49A9,1610.0,2024
ARCH497D34,1100.0,2024
ARCHE71D79,5830.0,2024
ARCHDD8749,3930.0,2024
BADMC045D4,4500.0,2024
BADM88C384,790.0,2024
BADMA5EBA3,5910.0,2024
BADM4BAB38,6460.0,2024
BADMDC6AB1,1820.0,2024
BADM50C510,1660.0,2024
BADM2459FB,1670.0,2024
BADM9DDCED,2320.0,2024
BADMD11DA6,3510.0,2024
BADMDA1B05,3010.0,2024
BADM376040,2250.0,2024
BADM03A202,3980.0,2024
BADME151E6,1430.0,2024
BADMDA5EC8,2820.0,2024
BADM48A260,2260.0,2024
BADM8FFE12,3140.0,2024
BADM1B8332,4910.0,2024
BADM7E90FB,1750.0,2024
BASK7F5383,3660.0,2024
BASKEE612D,4130.0,2024
BASK4C69DF,830.0,2024
BASK9E4294,4230.0,2024
BASKEE32E4,1580.0,2024
BASKE57A19,940.0,2024
BASK728A58,8180.0,2024
BASKED86BF,6390.0,2024
BASK32528E,7070.0,2024
BASK984F74,2390.0,2024
BOX8606F7,950.0,2024
BOXD26891,4230.0,2024
BOX17AD9F,2860.0,2024
BOXB9DCC6,1250.0,2024
BOX3DC0E4,3650.0,2024
BOX381514,590.0,2024
BOX386644,5490.0,2024
BOX3A9CA9,1850.0,2024
BOXB0228B,3490.0,2024
CAMP24F868,4540.0,2024
CAMPA3B110,4400.0,2024
CAMPEE1159,4600.0,2024
CAMP7A5E65,1890.0,2024
CAMP69AF0F,8550.0,2024
CAMP10C410,6000.0,2024
CAMPECAADE,10560.0,2024
CAMPF24336,11540.0,2024
CAMPE624C8,4980.0,2024
CAMP11E3FA,7410.0,2024
CAMPCB6B05,1160.0,2024
CAMPDFA679,1970.0,2024
CAMP4005E6,840.0,2024
CAMPD5615D,4120.0,2024
CRICA1EEE0,,2024
CRIC7723F0,2780.0,2024
CRIC97BE68,7380.0,2024
CRIC2716B4,3960.0,2024
